Date,Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol_Type,Flow_Duration,Packet_Size,Flow_Bytes_per_s,Flow_Packets_per_s,Total_Forward_Packets,Total_Backward_Packets,Packet_Length_Mean_Forward,Packet_Length_Mean_Backward,IAT_Forward,IAT_Backward,Active_Duration,Idle_Duration,IDS_Alert_Count,Anomaly_Score,Attack_Vector,Attack_Severity,Botnet_Family,Malware_Type,CPU_Utilization,Memory_Utilization,System_Patch_Status,Label,Normalized_Packet_Flow,Anomaly_Severity_Index
2018-01-01 00:00:00,192.168.1.1,8.8.8.8,57708,443,TCP,15,500,6.375466547339854,5.414037078813708,19,11,56.22591394775015,50.19906281452861,13.451938810710944,7.048153491000488,30.111229553494113,111.27767122708417,2,41.69270502354317,None,Low,None,None,16.37549128319277,60.91854692401775,Outdated,Normal,2.0,73.16878846873728
2018-01-01 01:00:00,172.16.0.1,4.4.4.4,29980,8080,TCP,390,472,6.694333911539073,2.497332926290576,21,19,39.61150405433345,46.50534424515855,24.74472864030428,3.2952728977309054,28.354223217937868,108.34719928919205,0,23.612143115582665,None,Low,None,None,31.98616722268331,7.71883263538221,Outdated,Attack,0.10256410256410256,16.059523533773092
2018-01-01 02:00:00,10.0.0.1,8.8.8.8,31923,443,TCP,120,129,7.948581938620527,3.60772479948997,19,9,41.577294656611514,43.83706377141586,5.1980517448338,4.534556522466847,30.52250635648598,123.48310696378184,1,59.81594562984889,None,Medium,None,None,1.919324964877452,51.7266715786923,Up-to-date,Normal,0.23333333333333334,99.33336111821717
2018-01-01 03:00:00,192.168.1.1,8.8.8.8,10525,80,TCP,3,500,7.326525997695864,4.144272227171323,24,5,60.269680213914995,47.72348480344731,4.160891258373666,0.6186632058817296,38.444207743342254,83.0303093993811,1,34.90735352117775,None,Low,None,None,21.07856034809342,20.463289369730443,Up-to-date,Normal,9.666666666666666,46.645165136045996
2018-01-01 04:00:00,192.168.1.1,1.1.1.1,31755,80,UDP,7,458,7.080846238162775,2.667007253020609,15,10,56.79852407608477,43.03065831035661,20.002979157649357,17.77201666044533,32.24340691830397,140.80177958807863,0,42.16479475130706,None,Medium,None,None,24.940597145765008,43.65257249501325,Up-to-date,Normal,3.5714285714285716,31.6486431550449
2018-01-01 05:00:00,192.168.1.1,8.8.8.8,42714,443,UDP,35,320,7.710113484208567,6.141425948767063,18,14,57.26184503527184,37.44416002521914,2.045073247299494,16.393724383952538,24.47004467792616,76.48545936127556,2,22.431192613064503,None,Medium,None,None,24.576175955553126,53.120402654044995,Up-to-date,Normal,0.9142857142857143,35.50529487668556
2018-01-01 06:00:00,192.168.1.1,8.8.8.8,29918,443,TCP,13,464,4.623668293370158,1.874710166961067,21,10,43.40140466685952,55.68443797683361,0.6688471265506774,4.857703061700291,30.92381852814006,84.93683142524834,0,34.97228379494101,None,Low,None,None,30.275541486990882,15.355161080513549,Up-to-date,Attack,2.3846153846153846,24.38423550565546
2018-01-01 07:00:00,10.0.0.1,8.8.8.8,50798,80,UDP,58,385,5.011430261799962,1.8954950922052083,27,17,41.60563068047524,48.69559941409602,4.097474581064806,4.882042249154003,27.264220564162418,113.04762064458446,2,50.00954419310486,DDoS,Low,None,None,33.847406939314624,6.241117072938067,Up-to-date,Attack,0.7586206896551724,69.42757243614489
2018-01-01 08:00:00,192.168.1.1,1.1.1.1,13788,80,TCP,12,322,5.335828470368999,2.2086226601271766,16,20,56.18128585354904,42.09361375836493,5.287508008348899,3.40315697381204,29.89086730891011,108.60623371556213,2,37.53286969450201,None,High,None,None,27.403640818896623,19.66628032521749,Up-to-date,Normal,3.0,57.18193181802599
2018-01-01 09:00:00,10.0.0.1,4.4.4.4,16858,80,TCP,50,597,23.888708491118393,3.415905686209403,17,14,42.81201311123094,42.32734506924559,11.346583218794798,11.461041195543876,38.176305136240856,136.39116683850955,1,9.580370336449581,None,High,None,None,16.224068123412554,15.644078117962392,Outdated,Normal,0.62,13.589274661242397
